title,date,author,type,fulltext,url
Ampel schwächt Demokratie aus Eitelkeit,27. Juni 2023,Jan Korte,Pressemitteilung,"„Die Ampel-Koalition hat sich jetzt erst auf ihren konkreten Vorschlag für das Heizungsgesetz geeinigt, trotzdem soll es nächste Woche schon beschlossen werden. Für ein Gesetz dieser Tragweite und dieser gesellschaftlichen Relevanz ist das völlig unangemessen und erinnert an die stümperhafte Krisengesetzgebung aus Corona-Zeiten. Das Verfahren widerspricht dem Koalitionsvertrag, in dem die Regierungsparteien aus gutem Grund beschlossen hatten, die Qualität der Gesetzgebung durch frühzeitige Diskussion zu verbessern sowie das Vertrauen in politische Prozesse zu stärken. Jetzt tun sie das Gegenteil, um endlich etwas vorweisen zu können. Aus reiner Eitelkeit schwächen SPD, Grüne und FDP die Demokratie und sorgen für politischen und sozialen Zündstoff“, erklärt Jan Korte, 1. Parlamentarischer Geschäftsführer der Fraktion DIE LINKE. Korte weiter:„Statt durch das Verfahren zu hetzen, könnte man anstelle des Gesamtpakets dringende Einzelheiten, wie die kommunale Wärmenetzplanung, auch jetzt beschließen. Dann wäre Zeit dafür, die Heizungsproblematik ohne Hektik zu diskutieren. Wer die Meinung von Experten wirklich miteinbeziehen will, gibt ihnen mehr als zwei Tage Vorbereitungszeit und dem Parlament die Möglichkeit, diese Expertise zu analysieren und daraus fundierte Änderungsvorschläge zu entwickeln. Dass die Koalition darauf keinen Wert legt, zeigt, dass sie diese inhaltliche Diskussion nicht will und ein instrumentelles Verhältnis zum parlamentarischen Verfahren hat.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/ampel-schwaecht-demokratie-aus-eitelkeit/
Mindestlohnanpassung bedeutet Reallohnverlust,26. Juni 2023,Susanne Ferschl,Pressemitteilung,"„Diese Anpassung des gesetzlichen Mindestlohns im Cent-Bereich auf 12,41 Euro ist ein Schlag ins Gesicht für Millionen Beschäftigte im Niedriglohnsektor und eine herbe Missachtung der EU-Mindestlohn-Richtlinie“, kommentiert Susanne Ferschl, stellvertretende Vorsitzende der Fraktion DIE LINKE im Bundestag, die heute verkündete Entscheidung der Mindestlohn-Kommission zur Anpassung des Mindestlohns zum 1. Januar 2024. Ferschl weiter:„Der Beschluss bedeutet für Millionen Beschäftigte in den kommenden zwei Jahren einen erheblichen Reallohnverlust. Weder ein Mindestschutz noch die Kaufkraft werden so abgesichert. Das zeigt allein schon ein Blick auf die noch immer hohen Preise. Jetzt wird überdeutlich, dass die Vorgaben der EU-Mindestlohnrichtlinie, nämlich 60 Prozent des mittleren Einkommens, als Untergrenze in das Mindestlohngesetz aufgenommen werden müssen, wie es DIE LINKE im Bundestag vergangene Woche gefordert hat. Gesetzliche Leitplanken sind dringend notwendig, damit der Mindestlohn nicht erneut zum Armutslohn wird.Legt man das Kriterium der EU-Richtlinie zugrunde, müsste der gesetzliche Mindestlohn bei mindestens 13,50 Euro liegen. Das ist auch das Mindeste, denn die hohen Preise treffen Menschen im Niedriglohnbereich besonders hart, deshalb braucht es deutliche Lohnsteigerungen. Die Realitätsverweigerung seitens der Vorsitzenden und der Arbeitgeberseite, die gegen die Stimmen der Gewerkschaften diese mickrige Anpassung durchgesetzt haben, provozieren eine erneute Diskussion um einen politischen Eingriff zur Erhöhung des Mindestlohnes. Der Arbeitsminister sollte ernsthaft erwägen, diesen Beschluss nicht rechtskräftig zu machen, sondern eine weitere gesetzliche Anhebung auf mindestens 13,50 Euro in Betracht ziehen. Zudem ist es überfällig, das Mindestlohngesetz um die EU-Vorgaben zu präzisieren, um politische Eingriffe zukünftig zu vermeiden und der Mindestlohnkommission einen klaren Handlungsauftrag an die Hand zu geben.""",https://www.linksfraktion.de/presse/pressemitteilungen/detail/mindestlohnanpassung-bedeutet-reallohnverlust/
Bevölkerungsschutztag der Bundesregierung: Protesttag statt Leistungsschau!,23. Juni 2023,André Hahn,Pressemitteilung,"„So sehr ich mich über die öffentliche Präsenz der Hilfsorganisationen am ersten Bevölkerungsschutztag freue, so kritisch sehe ich diese Leistungsschau dennoch. Ein Protesttag wäre deutlich angebrachter“, sagt André Hahn, Sprecher für Zivil- und Katastrophenschutz der Fraktion DIE LINKE, mit Blick auf den Bevölkerungsschutztag der Bundesregierung am 24. Juni 2023. Hahn weiter:„Im Katastrophenschutz schlägt auf allen Ebenen die jahrelange Sparpolitik der unionsgeführten Großen Koalition durch. Das wird bei veralteten Fahrzeugen, fehlender Sireneninfrastruktur und vor allem bei den fehlenden gesetzlichen Regelungen zur Helfergleichstellung besonders deutlich. Es muss endlich bundesweit geregelt sein, wie Helferinnen und Helfer im Einsatz abgesichert sind.Ein echter Neustart im Bevölkerungsschutz ist weiterhin nicht in Sicht. Die unterschiedlichen Verantwortungen von Bund, Ländern und Kommunen - beispielsweise bei Waldbränden - sorgen dafür, dass Kommunen immer wieder nach Kassenlage über den Einsatz von Löschhubschraubern und Löschflugzeugen entscheiden müssen. Ich verstehe die Kommunen durchaus, weil bislang keine Klarheit darüber besteht, dass sie am Ende nicht auf den Kosten für einen effektiven Löscheinsatz aus der Luft sitzenbleiben.Hinnehmbar ist das Schneckentempo absolut nicht mehr. Ich hoffe auf kritische Worte aus den Hilfsorganisationen, wenn am 3. Juli dann die Öffentliche Anhörung im Innenausschuss des Bundestages stattfindet.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/bevoelkerungsschutztag-der-bundesregierung-protesttag-statt-leistungsschau/
Psychische Erkrankungen als Berufskrankheit anerkennen,22. Juni 2023,Susanne Ferschl,Pressemitteilung,"„Das Urteil ist ein Meilenstein. Erstmals wurde eine psychische Erkrankung als Berufskrankheit anerkannt. Trotzdem ist es schier unglaublich, dass der Kläger trotz mehrerer nachgewiesen traumatisierender Erfahrungen in seinem Arbeitsleben erst gerichtlich durchsetzen muss, dass seine posttraumatische Belastungsstörung als Berufskrankheit anerkannt wird. Das ist ein weiterer Beweis dafür, dass das Berufskrankheitenrecht viel zu restriktiv ist“, erklärt Susanne Ferschl, stellvertretende Vorsitzende der Fraktion DIE LINKE im Bundestag, zum heutigen Urteil des Bundessozialgerichts, wonach eine Posttraumatische Belastungsstörung bei Rettungssanitätern als ""Wie-Berufskrankheit"" anerkannt werden kann. Ferschl weiter:„Die Folgen dieser strengen Handhabung sind individuell für die einzelnen Betroffenen, aber auch gesamtgesellschaftlich, erheblich. Betroffene werden alleingelassen und müssen sich - sofern es ihre Kraft zulässt - ihr Recht einklagen oder fallen schlicht durchs Raster. Die Kosten für nicht von der Unfallversicherung anerkannte berufsbedingte Schädigungen der Gesundheit werden hingegen über die paritätisch finanzierte Kranken- und Rentenversicherung auf alle Versicherten abgewälzt. Das spart einzig der Unfallversicherung, die vollständig von den Arbeitgebern getragen wird, Kosten - oft auf dem Rücken geschädigter Beschäftigter. Es braucht daher über den konkreten Fall hinaus zwingend Reformen. Überfällig ist es, die Liste der anerkannten Berufskrankheiten an die moderne Arbeitswelt anzupassen. Durch mehr unabhängige Forschung insbesondere auch zu psychischen und Herz-Kreislauf-Erkrankungen sowie eine Härtefallregelung müssen bestehende Lücken geschlossen werden.""",https://www.linksfraktion.de/presse/pressemitteilungen/detail/psychische-erkrankungen-als-berufskrankheit-anerkennen/
Ampel-Regierung sollte sich für Stopp der Verfolgung von Edward Snowden einsetzen,21. Juni 2023,Sevim Dagdelen,Pressemitteilung,"„DIE LINKE gratuliert dem US-Whistleblower Edward Snowden zum 40. Geburtstag im russischen Exil. Edward Snowden könnte heute in Berlin feiern, wenn die Bundesregierung vor zehn Jahren den Mut gehabt hätte, dem NSA-Whistleblower Schutz vor US-Verfolgung zu gewähren“, erklärt Sevim Dagdelen, Obfrau der Fraktion DIE LINKE im Auswärtigen Ausschuss und Sprecherin für Internationale Politik. Dagdelen weiter:„Whistleblower wie Edward Snowden sind keine Kriminellen, sondern große Helden, die Missstände und Verbrechen aufdecken. Es ist eine bleibende politische Schande, dass vor zehn Jahren kein Land der EU den Mut gefunden hat, Edward Snowden nach den Enthüllungen über die Ausspäh-Aktivitäten des US-Abhördienstes NSA und seines britischen Gegenparts GCHQ politisches Asyl anzubieten, wie es schließlich Russland getan hat.Die Bundesregierung ist aufgerufen, sich bei US-Präsident Joe Biden für den Stopp der Verfolgung des Whistleblowers Edward Snowden einzusetzen. Es ist Ausdruck falscher Verbundenheit mit Washington, dass weder die Ampel-Regierung noch die Europäische Union Edward Snowden endlich Schutz und Sicherheit garantieren, wie sie auch im Fall des Journalisten und WikiLeaks-Gründers Julian Assange feige stillhalten, der seit 1532 Tagen im Hochsicherheitsgefängnis Belmarsh, dem ‚britischen Guantanamo‘, in Isolationshaft sitzt, um ihn an die USA auszuliefern, wo ihm wegen der Enthüllung von US-Kriegsverbrechen im Irak und Afghanistan sowie von CIA-Folterprogrammen 175 Jahre Gefängnis drohen.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/ampel-regierung-sollte-sich-fuer-stopp-der-verfolgung-von-edward-snowden-einsetzen/
Sorgen der ukrainischen Bevölkerung beim Wiederaufbau ernst nehmen,21. Juni 2023,Cornelia Möhring,Pressemitteilung,"„Die internationale Staatenwelt muss der Ukraine beim Wiederaufbau helfen. Ohne Hilfe von außen kann das durch den Angriffskrieg Russlands systematisch zerstörte Land in Friedenszeiten nicht wieder auf die Beine kommen. Was nicht passieren darf, ist ein Wettrennen um den Ausverkauf von Land, Wirtschaft und den Rechten der Ukrainerinnen und Ukrainer“, erklärt Cornelia Möhring, entwicklungspolitische Sprecherin der Fraktion DIE LINKE im Bundestag, anlässlich der Ukraine Recovery Conference, die heute und morgen in London zum Wiederaufbau des zweigrößten Landes in Europa berät. Möhring weiter:„Die große Frage beim Wiederaufbau ist nicht allein die nach dem Geld, sondern unter welchen Bedingungen die Finanzmittel eingesetzt werden. Fehler durch Korruption, Fremdbestimmung und Fehlplanung, wie bei dem von Experten als größtenteils gescheitert bewerteten Milliarden-Wiederaufbau des Irak, dürfen sich nicht wiederholen. Der Wiederaufbau muss demokratisch-transparent und sozial-ökologisch sein. Was nicht funktioniert, siehe Irak und Afghanistan, ist ein Wiederaufbau unter der Führung externer Akteure. Der Wiederaufbau der Ukraine darf nicht zum kurzlebigen, von öffentlichen Geldern finanzierten Konjunkturprogramm für ausländische Unternehmen werden, sondern muss nachhaltig und gerecht gestaltet werden.Insbesondere müssen die Sorgen der Ukrainerinnen und Ukrainer vor einem Ausverkauf des Landes ernst genommen werden. Noch vor Industrie und Energie (Wasserstoff, Biokraftstoffe) steht der ukrainische Agrarsektor bei europäischen und US-amerikanischen Unternehmen ganz oben auf der Einkaufsliste. Wegen dieser Sorgen sind bereits im Jahr 2020 Ukrainerinnen und Ukrainer auf die Straße gegangen. Seitdem gilt ein Moratorium, das Landverkauf an Ausländer stark begrenzt. Ein Referendum wird abschließend über die Landfrage entscheiden. Auch die zunehmende Einschränkung von Gewerkschaften und Arbeitsrecht ist bedenklich.DIE LINKE im Bundestag macht sich darum für einen solidarischen Wiederaufbau stark, bei dem die Bedürfnisse der Mehrheit der Bevölkerung im Mittelpunkt stehen und durch die Menschen und Institutionen in der Ukraine umgesetzt werden.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/sorgen-der-ukrainischen-bevoelkerung-beim-wiederaufbau-ernst-nehmen/
Mehr Transparenz und Öffentlichkeit im Petitionsverfahren,21. Juni 2023,Sören Pellmann,Pressemitteilung,"„Die Zahl der eingereichten Petitionen ist im letzten Jahr erfreulicherweise wieder leicht angestiegen. Ein deutliches Zeichen für eine lebendige Demokratie! Diese positive Tatsache kann aber nicht davon ablenken, dass nach wie vor großer Reformbedarf besteht hinsichtlich des Petitionswesens und der Arbeit des Petitionsausschusses“, so Sören Pellmann, Obmann der Fraktion DIE LINKE im Petitionsausschuss, zum heute vorgestellten jährlichen Tätigkeitsbericht des Ausschusses. Pellmann weiter:„Das Petitionswesen des Deutschen Bundestages kann den Erwartungen und Ansprüchen der Bürgerinnen und Bürger kaum noch gerecht werden und der zunehmenden Beliebtheit privater Plattformen nicht entgegenwirken. Es braucht daher endlich mehr Transparenz und Öffentlichkeit im Petitionsverfahren. Außerdem sollten Petitionen in Zukunft stärker im Plenum des Deutschen Bundestages wahrgenommen werden.“Ina Latendorf, ebenfalls für die Fraktion DIE LINKE Mitglied des Petitionsausschusses, ergänzt: „Der Ausschuss hat im vergangenen Jahr deutlich häufiger höhere Voten ausgesprochen und so dafür gesorgt, dass den Anliegen der Petentinnen und Petenten eher entsprochen wurde. Diese begrüßenswerte Tendenz sollte definitiv im nächsten Jahr beibehalten werden.Gleichzeitig ist ein weiteres Jahr vergangen, ohne dass die Fraktionen der Regierungsparteien uns ihre versprochenen Reformvorschläge zum Petitionswesen vorgelegt haben. Die Anträge meiner Fraktion dazu wurden hingegen stets abgelehnt. Wir werden dennoch weiterhin an unseren Forderungen festhalten und uns im Ausschuss für diese starkmachen.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/mehr-transparenz-und-oeffentlichkeit-im-petitionsverfahren/
Reform des europäischen Asylsystems stoppen – für eine menschenrechtsbasierte Fluchtpolitik,20. Juni 2023,Clara Bünger,Pressemitteilung,"„Ich bin entsetzt, wie weit sich die Entrechtung von Schutzsuchenden inzwischen normalisiert hat. Dass letzte Woche Hunderte Menschen bei der Flucht vor der griechischen Küste ertrunken sind, dass die sogenannte libysche Küstenwache regelmäßig auf NGOs und Flüchtende schießt, dass Menschen an den Landgrenzen der EU krankenhausreif geprügelt werden, um sie an der Einreise zu hindern, wird in der Öffentlichkeit längst achselzuckend hingenommen. Mit der Umsetzung der geplanten Reform des europäischen Asylsystems würden sich diese Zustände noch verschlimmern. Deshalb rufe ich insbesondere die Ampel-Fraktionen dazu auf, die GEAS-Reform zu stoppen und sich für eine menschenrechtsbasierte Fluchtpolitik einzusetzen, wie es ihr Koalitionsvertrag vorsieht“, erklärt die fluchtpolitische Sprecherin der Fraktion DIE LINKE, Clara Bünger, anlässlich des Weltflüchtlingstags. Bünger weiter:„Letztes Jahr erlaubte die Aufnahme der Ukraine-Geflüchteten einen Blick darauf, wie eine solidarische Fluchtpolitik aussehen könnte. Es ist fatal, dass die Verantwortlichen in Bund und Ländern diese positiven Erfahrungen nicht genutzt haben, um Konsequenzen für den Umgang mit allen Geflüchteten zu ziehen. Dass stattdessen eine Gesetzesverschärfung nach der nächsten auf den Weg gebracht wird, ist Wasser auf die Mühlen der Rechten.Es ist vollkommen klar, dass höhere Mauern und Zäune, mehr Pushbacks und neue Lager Menschen nicht von der Flucht abhalten werden. Denn Menschen fliehen nicht ohne Grund: Sie verlassen ihre Länder, weil Kriege, repressive Regime, Umweltzerstörung und extreme Armut ihnen keine andere Wahl lassen. Mehr Abschottung wird dazu führen, die Flüchtenden sich auf noch gefährlichere Routen begeben, mit der Folge, dass es noch mehr Tote gibt. Die Verantwortlichen für diese verbrecherische Politik sitzen auf den Regierungsbänken.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/reform-des-europaeischen-asylsystems-stoppen-fuer-eine-menschenrechtsbasierte-fluchtpolitik/
Weltflüchtlingstag: Abgeordnete der Bundestagsfraktion spenden 2500 Euro an Seenotrettungsorganisation,20. Juni 2023,Dietmar Bartsch,Pressemitteilung,"Anlässlich des heutigen Weltflüchtlingstags und der Entscheidung, die Seenotrettungsorganisation Sea Watch mit 2500 Euro zu unterstützen, erklären die Vorsitzenden der Fraktion DIE LINKE Amira Mohamed Ali und Dietmar Bartsch:„Das Massensterben im Mittelmeer muss aufhören. Die Seenotrettung muss verstärkt, statt be- und verhindert werden. Wenn neofaschistische Regierungen wie die italienische in der Asyl- und Flüchtlingspolitik die Richtschnur vorgeben, wie das leider aktuell der Fall ist, wird Seenotrettung zur Straftat und das Mittelmeer immer mehr zum Massengrab. Es ist Ausdruck einer menschenverachtenden Politik, wenn auch nach dem Willen europäischer Regierungen das Sterbenlassen von Schutzsuchenden und die unterlassene Hilfeleistung zur Normalität, die Rettung von Menschen jedoch mehr und mehr zur Straftat erklärt wird.Während weltweit die Zahl derer, die vor Kriegen, Unterdrückung und Verfolgung, vor Armut und Hunger und den Folgen des Klimawandels fliehen, steigt, werden Menschenrechte in der Europäischen Union immer mehr ausgehöhlt. DIE LINKE steht an der Seite der Organisationen und Initiativen, die sich gegen diese katastrophale Politik wenden und unterstützt alle Proteste gegen die Europäische Asylrechtsreform und gegen die faktische Abschaffung des Grundrechts auf Asyl.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/weltfluechtlingstag-abgeordnete-der-bundestagsfraktion-spenden-2500-euro-an-seenotrettungsorganisation/
Blinde Flecken im VS-Bericht bleiben,20. Juni 2023,Martina Renner,Pressemitteilung,"„Auch mit dem aktuellen Verfassungsschutzbericht bestätigt sich, was Antifaschisten schon lange beschreiben. Die nicht nur zahlenmäßig größte Bedrohung für die demokratische Gesellschaft und die Sicherheit ihrer Bürger ist der Rechtsextremismus mit seinen Strömungen. Während die geistigen Brandstifter weiter hetzen, steigen auch die Straf- und Gewalttaten von Neonazis, Rechtsterroristen, Reichsbürgern und ihren Gesinnungsgenossen an“, erklärt Martina Renner, innenpolitische Sprecherin der Fraktion DIE LINKE, anlässlich der Vorstellung des Verfassungsschutzberichts 2022. Renner weiter:„Der Verfassungsschutz hält an seinen blinden Flecken fest: Mit dem Extremismusinstrumentarium bleiben wichtige Teile der Entwicklung in der extremen Rechten für die Behörden nebulös. Dies spiegelt die Kategorie ‚Verfassungsschutzrelevante Delegitimierung des Staates‘ wider. Statt eine Art ‚Resterampe‘ für ‚Querdenker‘ zeigt das ‚Delegitimierungsspektrum‘ den vielschichtigen Angriff durch autoritäre, demokratie- und menschenfeindliche Positionen auf eine grundrechtsbasierte Gesellschaft. Dieser Angriff kommt überwiegend aus der gesellschaftlichen Mitte und ist für die rechtsextreme Szene anschluss- und mobilisierungsfähig.Hilflos räumt die Bundesinnenministerin ein, dass man gegen die geistigen Brandstifter von AfD bis ‚Ein Prozent‘ bisher kein Mittel gefunden habe, um ihnen wirksam entgegenzutreten. Dies würde ein stärkeres Vorgehen gegen den Populismus der Mitte und deren rohe Bürgerlichkeit erfordern.Für DIE LINKE hat weiterhin die Entwaffnung der extremen Rechten höchste Priorität. Die angeblich erfolgreiche Entwaffnung vieler Reichsbürger ist da nur ein kleiner Schritt. Es ist zudem dringend notwendig, der Übernahme völkischer und menschenfeindlicher Narrative durch weite Teile der Menschen entgegenzutreten. Dann aber muss sich auch die Mitte der Gesellschaft ihrer Verantwortung für demokratie- und menschenfeindliche Einstellungen bewusst werden.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/blinde-flecken-im-vs-bericht-bleiben-1/
Verfassungsschutzbericht 2022: Größte Bedrohung bleiben Rechtsextremismus und Rechtsterrorismus,20. Juni 2023,André Hahn,Pressemitteilung,"„Die heute von Bundesinnenministerin Nancy Faeser (SPD) und dem Präsidenten des Bundesamtes für Verfassungsschutz Thomas Haldenwang vorgelegten Zahlen zum Anstieg des Rechtsextremismus auf ein Potenzial von 38.800 Personen sind besorgniserregend. Sie zeigen, Rechtsextremismus und Rechtsterrorismus bleiben die größte Bedrohung für die Demokratie in Deutschland. Nun sollte endlich auch die künstliche Trennung zwischen Rechtsextremismus sowie sogenannten Reichsbürgern und Selbstverwaltern, deren Potenzial auf 23.000 Personen ebenfalls erneut anstieg, aufgegeben werden. Es ist überfällig, bei deren Einordnung in eine separate Kategorie umzudenken. Die rechtsextreme Gefahr, die von ihnen ausgeht, und ihre Zugehörigkeit zur illiberalen, autoritär-nationalistischen Rechten muss deutlich benannt werden"", erklärt André Hahn, für die Fraktion DIE LINKE Mitglied des Parlamentarischen Kontrollgremiums für die Geheimdienste. Hahn weiter:„Es ist bedauerlich, wenn Bundesinnenministerin Nancy Faeser (SPD) die Politik ihres Vorgängers Horst Seehofer (CSU) einfach nur fortsetzt und entpolitisierte Kategorien des Inlandsgeheimdienstes als analytisch diskursfähig betrachtet. Ein Blick auf die USA und die Ideologie des Trumpismus könnte ihr zeigen, wie sich aktuell ein Amalgam aus autoritärem Populismus, nationalistischer Rebellion, Hass gegen Minderheiten und Verschwörungsmythen in einer Radikalisierung der extremen Rechten gegen das demokratische System verbinden. Dagegen muss politisch und - sofern möglich - auch juristisch endlich entschieden vorgegangen werden.""",https://www.linksfraktion.de/presse/pressemitteilungen/detail/verfassungsschutzbericht-2022-groesste-bedrohung-bleiben-rechtsextremismus-und-rechtsterrorismus/
China-Chaostage in der Ampel beenden,20. Juni 2023,Sevim Dagdelen,Pressemitteilung,"„Es ist abenteuerlich, wie Politiker der Ampel-Parteien die deutsch-chinesischen Regierungskonsultationen attackieren und auf wachsende Konfrontation gegenüber Beijing orientieren. Bundeskanzler Olaf Scholz muss die China-Chaostage in der Ampel-Koalition beenden, sonst droht Deutschland außenpolitisch ins Abseits zu geraten“, erklärt Sevim Dagdelen, Obfrau der Fraktion DIE LINKE im Auswärtigen Ausschuss und stellvertretende Vorsitzende der Deutsch-Chinesischen Parlamentariergruppe. Dagdelen weiter:„Während die USA jetzt auf China zugehen und auf neue diplomatische Kontakte setzen, spielt ein Teil der Ampel in Berlin entfesselte Großmacht. Das ist schlicht unverantwortlich. Kanzler Scholz ist gefordert, gegen das Konfrontationsgerede seiner Koalitionskollegen klar Stellung zu beziehen. China ist mit einem Anteil von 8,1 Prozent noch vor den USA Deutschlands größter Handelspartner. Die von den USA und Teilen der Ampel-Koalition geforderte Entkoppelung von China würde den Verlust hunderttausender Arbeitsplätze in Deutschland bedeuten. Es ist also zu begrüßen, wenn nach fünf Jahren Pause erstmals wieder direkte deutsch-chinesische Regierungskonsultationen stattfinden.Es braucht viel mehr Dialog und Diplomatie für Kooperation in einer multipolaren Welt statt blinder US-Gefolgschaft, die in die Konfrontation bis hin zu einem Wirtschaftskrieg führen kann. Die US-Strategie, Deutschland und Europa bei der Konfrontationspolitik gegenüber China nach vorne zu schieben, während man selbst gleichzeitig einen Kurs der diplomatischen Verständigung fährt, sollte den Scharfmachern in der Berliner Koalition mindestens zu denken geben.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/china-chaostage-in-der-ampel-beenden/
Jedes Krankenhaus muss erhalten bleiben,20. Juni 2023,Amira Mohamed Ali,Pressemitteilung,"„Im Notfall zählt jede Minute. Es darf nicht sein, dass der Weg zum nächsten Krankenhaus immer länger wird. Jedes einzelne Krankenhaus ist wichtig und muss erhalten bleiben“, erklärt Amira Mohamed Ali, Vorsitzende der Fraktion DIE LINKE im Bundestag, anlässlich des heutigen Protesttags „Alarmstufe Rot“ der Deutschen Krankenhausgesellschaft, bei dem auf die finanzielle Notlage der Kliniken in Deutschland aufmerksam gemacht wird. Mohamed Ali weiter:„Krankenhäuser müssen endlich auskömmlich finanziert werden. Die Fallpauschalen, bei denen die Kliniken nur einen fixen Betrag pro Behandlung bekommen, gehören abgeschafft. Stattdessen sollten die tatsächlichen Behandlungskosten erstattet werden. Ebenso muss sich der Bund an Investitionen in neue medizinische Geräte beteiligen und die gestiegenen Kosten für Energie und Versorgungsmittel auffangen.Dass nun der Personalmangel in der Pflege als Ausrede für Klinikschließungen herhalten muss, ist eine absolute Frechheit. Stattdessen sollte endlich konsequent etwas gegen den Personalmangel getan werden. Die Pfleger brauchen gute Löhne und gute Arbeitsbedingungen. Hierfür tut die Bundesregierung nichts. Die Ampel trägt die Verantwortung für den Personalmangel und die Krankenhausschließungen.Insgesamt müssen wir weg von der Profitlogik im Gesundheitssystem. Es darf nicht sein, dass Krankenhäuser Gewinne erwirtschaften müssen und deshalb gezwungen sind, an Personal und Versorgungsqualität zu sparen.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/jedes-krankenhaus-muss-erhalten-bleiben/
